IBOV - Carteira do Dia 18/06/24
Código;Ação;Tipo;Qtde. Teórica;Part. (%)
ENEV3;ENEVA;ON  ATZ NM;1.579.630.820;0,992;
EGIE3;ENGIE BRASIL;ON      NM;255.236.961;0,571;
EQTL3;EQUATORIAL;ON      NM;1.155.467.134;1,723;
EZTC3;EZTEC;ON      NM;91.514.307;0,061;
FLRY3;FLEURY;ON      NM;240.822.651;0,172;
GGBR4;GERDAU;PN      N1;1.246.339.197;1,073;
GOAU4;GERDAU MET;PN      N1;660.411.219;0,333;
NTCO3;GRUPO NATURA;ON      NM;849.346.756;0,630;
SOMA3;GRUPO SOMA;ON      NM;496.029.967;0,149;
HAPV3;HAPVIDA;ON      NM;4.394.332.306;0,820;
HYPE3;HYPERA;ON      NM;409.490.388;0,599;
IGTI11;IGUATEMI S.A;UNT     N1;217.622.138;0,214;
IRBR3;IRBBRASIL RE;ON      NM;81.838.843;0,131;
ITSA4;ITAUSA;PN      N1;5.560.910.983;2,733;
ITUB4;ITAUUNIBANCO;PN      N1;4.740.126.023;7,709;
JBSS3;JBS;ON      NM;1.134.986.472;1,610;
KLBN11;KLABIN S/A;UNT     N2;777.422.123;0,806;
RENT3;LOCALIZA;ON      NM;854.504.168;1,717;
LREN3;LOJAS RENNER;ON      NM;951.452.770;0,602;
LWSA3;LWSA;ON      NM;428.737.358;0,088;
MGLU3;MAGAZ LUIZA;ON      NM;351.757.412;0,197;
MRFG3;MARFRIG;ON      NM;331.799.687;0,174;
BEEF3;MINERVA;ON      NM;261.036.182;0,081;
MRVE3;MRV;ON      NM;375.130.280;0,129;
MULT3;MULTIPLAN;ON      N2;268.505.432;0,303;
PCAR3;P.ACUCAR-CBD;ON      NM;379.400.826;0,057;
PETR3;PETROBRAS;ON  EDJ N2;2.150.495.108;4,019;
PETR4;PETROBRAS;PN  EDJ N2;4.566.445.852;8,105;
RECV3;PETRORECSA;ON      NM;275.166.463;0,254;
PRIO3;PETRORIO;ON      NM;804.019.521;1,710;
PETZ3;PETZ;ON      NM;314.729.428;0,055;
RADL3;RAIADROGASIL;ON      NM;1.280.079.284;1,636;
RAIZ4;RAIZEN;PN      N2;1.210.920.604;0,172;
RDOR3;REDE D OR;ON      NM;1.144.776.793;1,490;
RAIL3;RUMO S.A.;ON      NM;1.218.352.541;1,197;
SBSP3;SABESP;ON      NM;340.001.799;1,288;
SANB11;SANTANDER BR;UNT;342.918.449;0,480;
SMTO3;SAO MARTINHO;ON      NM;142.348.116;0,226;
